DOCUMENT	SECTION	ANAPHOR OFFSET	ANAPHOR SENTENCE	ANAPHOR FORM	ANTE OFFSET	ANTE SENTENCE	ANTE FORM	ANTE 2 OFFSET	ANTE 2 SENTENCE	ANTE 2 FORM
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	7509	49	it	508	7	Candidatus Phytoplasma mali			
2013_Jerinic-Prodanovic_translation	abstract	220	2	they	1338	8	P spinosa			
2013_Jerinic-Prodanovic_translation	abstract	306	2	they	1338	8	P spinosa			
2013_Jerinic-Prodanovic_translation	abstract	386	2	they	1338	8	P spinosa			
2013_Jerinic-Prodanovic_translation	abstract	1071	5	it	1338	8	P spinosa			
2013_Seljak_Study_of_bionomics_of_Cacopsylla_pruni_in_the_Primorska_region._translation	abstract	2947	11	its	200	4	CAB			
2013_Seljak_Study_of_bionomics_of_Cacopsylla_pruni_in_the_Primorska_region._translation	abstract	3498	15	its	200	4	CAB			
2013_Seljak_Study_of_bionomics_of_Cacopsylla_pruni_in_the_Primorska_region._translation	abstract	4021	17	Organism	200	4	CAB			
2013_Seljak_Study_of_bionomics_of_Cacopsylla_pruni_in_the_Primorska_region._translation	abstract	4707	18	Organism	200	4	CAB			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	136	1	species	344	3	Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	601	5	It	344	3	Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	849	7	species	344	3	Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	1013	9	They	344	3	Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	1482	13	the disease	1188	11	Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	1580	14	their	1503	13	Phytoplasma			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	1656	15	bacterium	1503	13	Phytoplasma			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	1717	15	species	1666	15	Pseudomonas syringae			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	1828	16	it	1666	15	Pseudomonas syringae			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	2186	18	their	2021	18	Candidatus Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	2642	22	It	344	3	Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	2865	23	it	344	3	Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	2926	23	it	344	3	Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	3003	23	they	344	3	Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	3168	24	it	344	3	Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	3369	27	they	3289	26	P. prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	3439	27	them	3289	26	P. prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	3463	27	their	3289	26	P. prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	3642	28	its	3289	26	P. prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	3780	28	species	3289	26	P. prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	3926	29	its	3289	26	P. prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	4000	29	species	3289	26	P. prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	4512	34	their	4441	34	Candidatus Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	4590	34	it	4441	34	Candidatus Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	5359	39	they	344	3	Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	5832	43	it	5753	42	Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	6064	46	its	5870	44	Phytoplasma prunorum			
2017_Csilla_Hungary_Cacopsylla_pruni_translation	abstract	6196	48	their	344	3	Phytoplasma prunorum			
2017_Dolanc_Thesis_Slovenia_Cacopsylla_pruni_L_translation	abstract	1226	7	causative agent	608	5	C.pruni			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	31	1	Strains	490	6	No. 1			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	308	1	Strains	490	6	No. 1			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	1393	25	Its	1292	24	PPV			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	1630	25	Strains	1292	24	PPV			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	2008	25	its	1794	25	PPV			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	2914	30	Strains	2548	28	PPV			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	2939	30	strain	2548	28	PPV			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	3487	32	strain	3368	32	PPV			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	3494	32	infections	3368	32	PPV			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	3833	34	Strains	3506	33	PPV			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	3946	34	infection	3506	33	PPV			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	4006	35	the strain	3506	33	PPV			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	4010	35	strain	3506	33	PPV			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	4693	37	strains	4477	37	PPV			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	4781	38	strain	4477	37	PPV			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	5100	42	pathogen	4930	41	PPV			
2020_Dallot_First_Report_of_Plum_Pox_Virus_Str_translation	abstract	5522	44	Strains	4930	41	PPV			
