document_name,pipeline_highlight,correction,quality,supposed_cause,context,correct_label,possible_solution,comments
2020_Gjonov_New_records_of_Hemiptera_from_the_Maltese_Islands_Cacopsylla_pruni_Malta_copie,NA,Auchenorrhynchan,false_negative,morphological_variation,"The Auchenorrhynchan fauna of the Maltese Islands was first reviewed by D’Urso & Mirsup (2012), at that time including 46 species, with another being added by D’Urso (2016), and a further 24 recorded by D’Urso et al. (2019) totaling this suborder’s local representatives at 71. ",taxon,taxon_autocorrector,
2020_Gjonov_New_records_of_Hemiptera_from_the_Maltese_Islands_Cacopsylla_pruni_Malta_copie,NA,Auchenorryncha,false_negative,NA,"bringing the total species known of Auchenorryncha, Heteroptera and Sternorrhyncha to 80, 237, and 234 respectively.",taxon,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Bibionid,false_negative,NA,"Syrphide, Muscidae, Bibionid",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,Biorhiza,Biorhiza terminalis,too_narrow,unknown_lexeme,It is also galled by Cecidomyia praniand Biorhiza terminalis;,taxon,add_lexeme,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Blackberry,false_negative,pattern_recognition,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Blackthorn,false_negative,pattern_recognition,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Blackthorn,false_negative,pattern_recognition,In Surrey it is always cold when the Blackthorn comes in flower. ,habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Blackthorn blossoms,false_negative,NA,the Blackthorn blossoms make the otherwise dark growth of branches quite white in early spring.,habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Blackthorn Chats,false_negative,pattern_recognition,Blackthorn Chats are the young shoots when they have been cut down,habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Blackthorn-May ,false_negative,pattern_recognition,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,branches,false_negative,NA,The plant is a bushy tree with numerous interlacing branches,habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,branches,false_negative,NA,the spines being arrested branches.,habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Brown Hairstreak ,false_negative,unknown_lexeme,"Otiorhynchus picipes, Monochetus sulcatus, Magdalinus prani, Rhynchites auratus, the Hymenopterous insects Andrena bucephala, Eriocampa adumbrata, Lepidoptera Black — Hairstreak (Thecla pruni), Scarlet T (Callimorpha dominula), Vellow Tail Moth (Liparis auriflua), Grey Dagger (Aeronyata psi), White-lewter Hair- streak (Thecla W. album), Brown Hairstreak (7: detule), Short-cloaked Moth (Nola cucullatella), &c., and the Homopterous Capsus capilZaris",taxon,add_lexeme,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Buckthorn,false_negative,pattern_recognition,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Bullace,false_negative,unknown_lexeme,It is the origin of the Bullace and the Plum.,habitat,add_lexeme,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Bullens,false_negative,pattern_recognition,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Bullies,false_negative,pattern_recognition,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Bullins,false_negative,pattern_recognition,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Bullister,false_negative,pattern_recognition,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat,,
2020_Gjonov_New_records_of_Hemiptera_from_the_Maltese_Islands_Cacopsylla_pruni_Malta_copie,NA,Bursinia sicula,false_negative,unknown_lexeme,"nine new records of Auchenorrhyncha (Bursinia sicula Emeljanoy, Chloriona sicula Matsumura, Eupteryx zelleri (Kirschbaum)",taxon,add_lexeme,
2020_Gjonov_New_records_of_Hemiptera_from_the_Maltese_Islands_Cacopsylla_pruni_Malta_copie,NA,Bursinia sicula Emeljanoy,false_negative,unknown_lexeme,"nine new records of Auchenorrhyncha (Bursinia sicula Emeljanoy, Chloriona sicula Matsumura, Eupteryx zelleri (Kirschbaum)",taxon,add_lexeme,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,bush-land,false_negative,outdated_term,"The plant is often 15 ft. high, and grows in clumps, several being associated together forming bush-land",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,tree,bushy tree,too_narrow,NA,The plant is a bushy tree with numerous interlacing branches,habitat,add_pattern,
2012_Ozgen_Psyllids_Anatolie_translation,Cacopsylla,Cacopsylla bidens,too_narrow,unknown_lexeme,"These species were Cyamophila glycyrrhizae (Becker, 1864), Spanioneura pechai (Klimaszewski &Lodos, 1977), Homotoma ficus (Linnaeus, 1758), Euphyllura straminea Loginova, 1973,Trioza magnisetosa Loginova, 1964, Aphalara grandicula (Gegechkori, 1981), Trioza neglecta Loginova, 1978, Trioza remota Foerster, 1848, Cacopsylla permixta Burckhardt & Hodkinson, 1986, Cacopsylla bidens (Sulc, 1907), Cacopsylla marianne (Baeva, 1966), and Agonoscena pistaciae Burckhardt & Lauterer, 1989",taxon,"add_pattern,taxon_autocorrector",
2012_Ozgen_Psyllids_Anatolie_translation,Cacopsylla,"Cacopsylla bidens (Sulc, 1907)",too_narrow,unknown_lexeme,"These species were Cyamophila glycyrrhizae (Becker, 1864), Spanioneura pechai (Klimaszewski &Lodos, 1977), Homotoma ficus (Linnaeus, 1758), Euphyllura straminea Loginova, 1973,Trioza magnisetosa Loginova, 1964, Aphalara grandicula (Gegechkori, 1981), Trioza neglecta Loginova, 1978, Trioza remota Foerster, 1848, Cacopsylla permixta Burckhardt & Hodkinson, 1986, Cacopsylla bidens (Sulc, 1907), Cacopsylla marianne (Baeva, 1966), and Agonoscena pistaciae Burckhardt & Lauterer, 1989",taxon,"add_pattern,taxon_autocorrector",
2012_Ozgen_Psyllids_Anatolie_translation,Cacopsylla,Cacopsylla marianne,too_narrow,unknown_lexeme,"These species were Cyamophila glycyrrhizae (Becker, 1864), Spanioneura pechai (Klimaszewski &Lodos, 1977), Homotoma ficus (Linnaeus, 1758), Euphyllura straminea Loginova, 1973,Trioza magnisetosa Loginova, 1964, Aphalara grandicula (Gegechkori, 1981), Trioza neglecta Loginova, 1978, Trioza remota Foerster, 1848, Cacopsylla permixta Burckhardt & Hodkinson, 1986, Cacopsylla bidens (Sulc, 1907), Cacopsylla marianne (Baeva, 1966), and Agonoscena pistaciae Burckhardt & Lauterer, 1989",taxon,add_lexeme,
2012_Ozgen_Psyllids_Anatolie_translation,Cacopsylla,"Cacopsylla marianne (Baeva, 1966)",too_narrow,unknown_lexeme,"These species were Cyamophila glycyrrhizae (Becker, 1864), Spanioneura pechai (Klimaszewski &Lodos, 1977), Homotoma ficus (Linnaeus, 1758), Euphyllura straminea Loginova, 1973,Trioza magnisetosa Loginova, 1964, Aphalara grandicula (Gegechkori, 1981), Trioza neglecta Loginova, 1978, Trioza remota Foerster, 1848, Cacopsylla permixta Burckhardt & Hodkinson, 1986, Cacopsylla bidens (Sulc, 1907), Cacopsylla marianne (Baeva, 1966), and Agonoscena pistaciae Burckhardt & Lauterer, 1989",taxon,add_lexeme,
2012_Ozgen_Psyllids_Anatolie_translation,Cacopsylla,Cacopsylla permixta,too_narrow,unknown_lexeme,"These species were Cyamophila glycyrrhizae (Becker, 1864), Spanioneura pechai (Klimaszewski &Lodos, 1977), Homotoma ficus (Linnaeus, 1758), Euphyllura straminea Loginova, 1973,Trioza magnisetosa Loginova, 1964, Aphalara grandicula (Gegechkori, 1981), Trioza neglecta Loginova, 1978, Trioza remota Foerster, 1848, Cacopsylla permixta Burckhardt & Hodkinson, 1986, Cacopsylla bidens (Sulc, 1907), Cacopsylla marianne (Baeva, 1966), and Agonoscena pistaciae Burckhardt & Lauterer, 1989",taxon,add_lexeme,
2012_Ozgen_Psyllids_Anatolie_translation,Cacopsylla,"Cacopsylla permixta Burckhardt & Hodkinson, 1986",too_narrow,unknown_lexeme,"These species were Cyamophila glycyrrhizae (Becker, 1864), Spanioneura pechai (Klimaszewski &Lodos, 1977), Homotoma ficus (Linnaeus, 1758), Euphyllura straminea Loginova, 1973,Trioza magnisetosa Loginova, 1964, Aphalara grandicula (Gegechkori, 1981), Trioza neglecta Loginova, 1978, Trioza remota Foerster, 1848, Cacopsylla permixta Burckhardt & Hodkinson, 1986, Cacopsylla bidens (Sulc, 1907), Cacopsylla marianne (Baeva, 1966), and Agonoscena pistaciae Burckhardt & Lauterer, 1989",taxon,add_lexeme,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,Capsus,Capsus capil- Zaris,too_narrow,text_extraction_issue,"Otiorhynchus picipes, Monochetus sulcatus, Magdalinus prani, Rhynchites auratus, the Hymenopterous insects Andrena bucephala, Eriocampa adumbrata, Lepidoptera Black — Hairstreak (Thecla pruni), Scarlet T (Callimorpha dominula), Vellow Tail Moth (Liparis auriflua), Grey Dagger (Aeronyata psi), White-lewter Hair- streak (Thecla W. album), Brown Hairstreak (7: detule), Short-cloaked Moth (Nola cucullatella), &c., and the Homopterous Capsus capilZaris",taxon,,
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation,Caradrina,Caradrina conducta,too_narrow,unknown_lexeme,Perigea conducta Wik. (Caradrina conducta Wik.),taxon,add_lexeme,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,carpel,false_negative,NA,"When the carpel becomes the fruit the layers are three, the skin or epicarp, the flesh or mesocarp, and the inner stony endocarp, ",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Cat's-sloes,false_negative,pattern_recognition,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,Cecidomyia,Cecidomyia praniand,too_narrow,unknown_lexeme,It is also galled by Cecidomyia praniand Biorhiza terminalis;,taxon,add_lexeme,
2020_Gjonov_New_records_of_Hemiptera_from_the_Maltese_Islands_Cacopsylla_pruni_Malta_copie,Chloriona,Chloriona sicula,too_narrow,unknown_lexeme,"nine new records of Auchenorrhyncha (Bursinia sicula Emeljanoy, Chloriona sicula Matsumura, Eupteryx zelleri (Kirschbaum)",taxon,add_lexeme,
2020_Gjonov_New_records_of_Hemiptera_from_the_Maltese_Islands_Cacopsylla_pruni_Malta_copie,Chloriona,Chloriona sicula Matsumura,too_narrow,unknown_lexeme,"nine new records of Auchenorrhyncha (Bursinia sicula Emeljanoy, Chloriona sicula Matsumura, Eupteryx zelleri (Kirschbaum)",taxon,add_lexeme,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Cladosporium,false_negative,NA,"Many larger fungi grow on it: Stereum, Podosphera, Eutypella, Polystigma, Plowrightia, Polyporus, Hypocmis, Entomospo- rium, Corynum, Cladosporium.",taxon,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,Coleoptera,Coleoptera (Nitidulide),too_narrow,text_extraction_issue,"Coleoptera (Nitidulide), Lepidoptera (Vanessa).",habitat,add_pattern,"""ae"" character not detected"
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,Bramble,Common Bramble,too_narrow,pattern_recognition,"The Common Bramble is not only a prevalent hedgerow plant, but it is often one of the chief mainstays of common undergrowth, and forms wide patches on heaths and moors,",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,common undergrowth,false_negative,unknown_lexeme,"The Common Bramble is not only a prevalent hedgerow plant, but it is often one of the chief mainstays of common undergrowth, and forms wide patches on heaths and moors,",habitat,"add_pattern,taxon_autocorrector",
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation,NA,Copepod,false_negative,"pattern_recognition,anaphora",Description of a new species of Copepod Harpacticoide caveman,habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Cornel,false_negative,unknown_lexeme,"It is found not only by the highway, with Spindle, Maple, Crab, Hawthorn, Cornel, and Elder, but also in the hedgerows, in fields, and in woods",habitat,add_lexeme,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Corynum,false_negative,NA,"Many larger fungi grow on it: Stereum, Podosphera, Eutypella, Polystigma, Plowrightia, Polyporus, Hypocmis, Entomospo- rium, Corynum, Cladosporium.",taxon,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Crab,false_negative,NA,"It is found not only by the highway, with Spindle, Maple, Crab, Hawthorn, Cornel, and Elder, but also in the hedgerows, in fields, and in woods",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Crawpea ,false_negative,unknown_lexeme,"Yellow Tar, Yellow Fitchling, Lady’s Fingers, Mouse Pea, Crawpea, Tom Thumb Vetchling. ",habitat,add_lexeme,
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation,NA,Crespedolepta flavipennis,false_negative,text_extraction_issue,#Crespedolepta flavipennis (Forst.) (= Aphalara pieta Auet.),taxon,taxon_autocorrector,
2012_Ozgen_Psyllids_Anatolie_translation,Cyamophila,Cyamophila glycyrrhizae,too_narrow,unknown_lexeme,"These species were Cyamophila glycyrrhizae (Becker, 1864), Spanioneura pechai (Klimaszewski &Lodos, 1977), Homotoma ficus (Linnaeus, 1758), Euphyllura straminea Loginova, 1973,Trioza magnisetosa Loginova, 1964, Aphalara grandicula (Gegechkori, 1981), Trioza neglecta Loginova, 1978, Trioza remota Foerster, 1848, Cacopsylla permixta Burckhardt & Hodkinson, 1986, Cacopsylla bidens (Sulc, 1907), Cacopsylla marianne (Baeva, 1966), and Agonoscena pistaciae Burckhardt & Lauterer, 1989",taxon,add_lexeme,
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation,NA,Diptera Bom- new bilids,false_negative,text_extraction_issue,Ditteri Bombilidi for peninsular Italy.,taxon,taxon_autocorrector,"correct: ""Ditteri Bombilidi"""
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,drupe,false_negative,unknown_lexeme,"The fruit is a drupe, the flesh adhering to the stone, round. ",habitat,add_lexeme,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Eggpeg Bushes,false_negative,pattern_recognition,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Elder,false_negative,unknown_lexeme,"It is found not only by the highway, with Spindle, Maple, Crab, Hawthorn, Cornel, and Elder, but also in the hedgerows, in fields, and in woods",habitat,"add_pattern,taxon_autocorrector",
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Empida,false_negative,unknown_lexeme,"Hymenoptera (Apidae), Diptera (Empida",habitat,add_lexeme,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Entomosporium,false_negative,NA,"Many larger fungi grow on it: Stereum, Podosphera, Eutypella, Polystigma, Plowrightia, Polyporus, Hypocmis, Entomospo- rium, Corynum, Cladosporium.",taxon,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,epicarp,false_negative,NA,"When the carpel becomes the fruit the layers are three, the skin or epicarp, the flesh or mesocarp, and the inner stony endocarp, ",habitat,,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,Eriocampa,Eriocampa adumbrata,too_narrow,unknown_lexeme,"Otiorhynchus picipes, Monochetus sulcatus, Magdalinus prani, Rhynchites auratus, the Hymenopterous insects Andrena bucephala, Eriocampa adumbrata, Lepidoptera Black — Hairstreak (Thecla pruni), Scarlet T (Callimorpha dominula), Vellow Tail Moth (Liparis auriflua), Grey Dagger (Aeronyata psi), White-lewter Hair- streak (Thecla W. album), Brown Hairstreak (7: detule), Short-cloaked Moth (Nola cucullatella), &c., and the Homopterous Capsus capilZaris",taxon,add_lexeme,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Eriophyes similis,false_negative,NA,Eriophyes similis is a gall that attacks it. ,taxon,,
2020_Gjonov_New_records_of_Hemiptera_from_the_Maltese_Islands_Cacopsylla_pruni_Malta_copie,Eupteryx ,Eupteryx zelleri,too_narrow,unknown_lexeme,"nine new records of Auchenorrhyncha (Bursinia sicula Emeljanoy, Chloriona sicula Matsumura, Eupteryx zelleri (Kirschbaum)",taxon,add_lexeme,
2020_Gjonov_New_records_of_Hemiptera_from_the_Maltese_Islands_Cacopsylla_pruni_Malta_copie,NA,Euscelis cf. ohausi,false_negative,unknown_lexeme,"(Bursinia sicula Emeljanoy, Chloriona sicula Matsumura, Eupteryx zelleri (Kirschbaum), Euscelis cf. ohausi Wagner, Opsius cypriacus Lindberg, Paralimnus phragmitis (Boheman)",taxon,add_lexeme,
2020_Gjonov_New_records_of_Hemiptera_from_the_Maltese_Islands_Cacopsylla_pruni_Malta_copie,Euscelis,Euscelis cf. ohausi Wagner,false_negative,unknown_lexeme,"(Bursinia sicula Emeljanoy, Chloriona sicula Matsumura, Eupteryx zelleri (Kirschbaum), Euscelis cf. ohausi Wagner, Opsius cypriacus Lindberg, Paralimnus phragmitis (Boheman)",taxon,add_lexeme,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Eutypella,false_negative,NA,"Many larger fungi grow on it: Stereum, Podosphera, Eutypella, Polystigma, Plowrightia, Polyporus, Hypocmis, Entomospo- rium, Corynum, Cladosporium.",taxon,,
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation,Fagus silvatica,Fagus silvatica L.,too_narrow,unknown_lexeme,on Fagus silvatica L. ,taxon,add_lexeme,
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation,NA,Fam. Livupas F. Lév.,false_neagative,unknown_lexeme,"Fam. Livupas F. Lév. ; Livia juncorum (Latr.) - Trentino, Mattarello, in Juncus #P »1X-1948;",taxon,add_lexeme,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,flesh,flesh,wrong_label,polysemy,"The fruit is a drupe, the flesh adhering to the stone, round. ",NA,"concept_addition,desambiguation",
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation,NA,Flor,false_negative,unknown_lexeme," Gammatosena speciosa (Flor) - Francia mex., Mens, on Populus nigra L., un to exemplary.",taxon,"add_pattern,taxon_autocorrector",
